record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-03T03:00:00+03:00,2026-08-03,,-164,-1,27.5,valid
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-04T03:00:00+03:00,2026-08-04,,-165,-1,27.5,valid
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-05T03:00:00+03:00,2026-08-05,,-166,-1,28,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,120,-178,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-03T03:00:00+03:00,2026-08-03,24,-164,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-04T03:00:00+03:00,2026-08-04,48,-166,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-05T03:00:00+03:00,2026-08-05,72,-169,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-06T03:00:00+03:00,2026-08-06,96,-173,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-09T03:00:00+03:00,2026-08-09,120,-181,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-05T03:00:00+03:00,2026-08-05,24,-168,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-06T03:00:00+03:00,2026-08-06,48,-172,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,72,-175,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-08T03:00:00+03:00,2026-08-08,96,-179,,,valid
